URL,Match_Status,Last_Segment,3rd Party Link,Has Contextual Ad,Match domain,Merchant Name,NAPM?,Affiliate ID,dealspotr URL
https://refermate.com/stores/alibris-promo-codes,Matched,alibris.com,true,true,alibris.com,Alibris,true,5306,https://dealspotr.com/promo-codes/alibris.com
https://refermate.com/stores/all-modern-promo-codes,Matched,allmodern.com,true,true,allmodern.com,All Modern,false,,https://dealspotr.com/promo-codes/allmodern.com
https://refermate.com/stores/ann-taylor-promo-codes,Matched,anntaylor.com,true,true,anntaylor.com,Ann Taylor,true,5378,https://dealspotr.com/promo-codes/anntaylor.com
https://refermate.com/stores/amtrak-promo-codes,Matched,amtrak.com,true,true,amtrak.com,Amtrak,false,,https://dealspotr.com/promo-codes/amtrak.com
https://refermate.com/stores/american-girl-promo-codes,Matched,americangirl.com,true,true,americangirl.com,American Girl,true,9436,https://dealspotr.com/promo-codes/americangirl.com
https://refermate.com/stores/altrec-promo-codes,Matched,the-house.com,true,true,the-house.com,Altrec,true,46551,https://dealspotr.com/promo-codes/the-house.com
https://refermate.com/stores/allen-edmonds-promo-codes,Matched,allenedmonds.com,true,true,allenedmonds.com,Allen Edmonds,true,1042,https://dealspotr.com/promo-codes/allenedmonds.com
https://refermate.com/stores/ardene-ca-promo-codes,Matched,ardene.com,true,true,ardene.com,Ardene CA,false,,https://dealspotr.com/promo-codes/ardene.com
https://refermate.com/stores/armani-exchange-promo-codes,Not Matched,armaniexchange.com.mx,true,true,,Armani Exchange,false,,
https://refermate.com/stores/asics-promo-codes,Not Matched,asics.com,true,true,,Asics,true,2599,
https://refermate.com/stores/atkins-promo-codes,Not Matched,shop.atkins.com,true,true,,Atkins,false,,
https://refermate.com/stores/auto-parts-warehouse-promo-codes,Matched,autopartswarehouse.com,true,true,autopartswarehouse.com,Auto Parts Warehouse,false,,https://dealspotr.com/promo-codes/autopartswarehouse.com
https://refermate.com/stores/auto-anything-promo-codes,Not Matched,autoanything.com,true,true,,Auto Anything,false,,
https://refermate.com/stores/avis-promo-codes,Matched,avis.com,true,true,avis.com,AVIS,true,8620,https://dealspotr.com/promo-codes/avis.com
https://refermate.com/stores/b-h-promo-codes,Matched,bhphotovideo.com,true,true,bhphotovideo.com,B&H,false,,https://dealspotr.com/promo-codes/bhphotovideo.com
https://refermate.com/stores/backcountry-promo-codes,Matched,backcountry.com,true,true,backcountry.com,Backcountry,true,1799,https://dealspotr.com/promo-codes/backcountry.com
https://refermate.com/stores/bed-bath-beyond-promo-codes,Matched,bedbathandbeyond.com,true,true,bedbathandbeyond.com,Bed Bath & Beyond,true,4742,https://dealspotr.com/promo-codes/bedbathandbeyond.com
https://refermate.com/stores/bath-body-works-promo-codes,Matched,bathandbodyworks.com,true,true,bathandbodyworks.com,Bath & Body Works,true,5307,https://dealspotr.com/promo-codes/bathandbodyworks.com
https://refermate.com/stores/belkin-promo-codes,Matched,belkin.com,true,true,belkin.com,Belkin,true,7289,https://dealspotr.com/promo-codes/belkin.com
https://refermate.com/stores/ben-sherman-promo-codes,Matched,bensherman.com,true,true,bensherman.com,Ben Sherman,true,13730,https://dealspotr.com/promo-codes/bensherman.com
https://refermate.com/stores/bergdorf-goodman-promo-codes,Matched,bergdorfgoodman.com,true,true,bergdorfgoodman.com,Bergdorf Goodman,true,5413,https://dealspotr.com/promo-codes/bergdorfgoodman.com
https://refermate.com/stores/bhcosmetics-promo-codes,Matched,bhcosmetics.com,true,true,bhcosmetics.com,BHCosmetics,true,3198,https://dealspotr.com/promo-codes/bhcosmetics.com
https://refermate.com/stores/bikebandit-promo-codes,Not Matched,bikebandit.com,true,true,,BikeBandit,false,,
https://refermate.com/stores/boden-promo-codes,Not Matched,bodenusa.com,true,true,,Boden,true,12188,
https://refermate.com/stores/bon-ton-promo-codes,Matched,bonton.com,true,true,bonton.com,Bon-Ton,false,,https://dealspotr.com/promo-codes/bonton.com
https://refermate.com/stores/booking-com-promo-codes,Matched,booking.com,true,true,booking.com,Booking.com,true,7512,https://dealspotr.com/promo-codes/booking.com
https://refermate.com/stores/boscov-s-department-stores-promo-codes,Matched,boscovs.com,true,true,boscovs.com,Boscov's Department Stores,true,2743,https://dealspotr.com/promo-codes/boscovs.com
https://refermate.com/stores/brookstone-promo-codes,Matched,brookstone.com,true,true,brookstone.com,Brookstone,true,2792,https://dealspotr.com/promo-codes/brookstone.com
https://refermate.com/stores/brylane-home-promo-codes,Matched,brylanehome.com,true,true,brylanehome.com,Brylane Home,true,31633075,https://dealspotr.com/promo-codes/brylanehome.com
https://refermate.com/stores/calvin-klein-promo-codes,Matched,calvinklein.us,true,true,calvinklein.us,Calvin Klein,true,31729312,https://dealspotr.com/promo-codes/calvinklein.us
